Feature,Coefficient,Absolute_Coefficient
Sex,-1.2390517825605887,1.2390517825605887
Pclass,-0.6556788098837758,0.6556788098837758
Age,-0.48531090275452893,0.48531090275452893
Has_Cabin,0.3743877766695566,0.3743877766695566
Is_Alone,-0.2913827308042979,0.2913827308042979
SibSp,-0.2715087352036254,0.2715087352036254
Family_Size,-0.21748390866675482,0.21748390866675482
Embarked,0.20043940986249437,0.20043940986249437
Parch,-0.06872101600617547,0.06872101600617547
Fare,0.04607222220138414,0.04607222220138414
Age_Group,-0.03763991654531546,0.03763991654531546
